ID,AGE,EDUC,Gender,EARN,Job class
43112,50,3,1,48000,6
43118,53,1,1,48000,6
43142,31,3,1,48003,5
43178,53,6,2,48030,5
43180,51,5,2,48072,6
43188,43,5,1,48090,5
43195,47,4,1,48100,5
43219,42,3,1,48200,7
43220,39,3,1,48225,5
43234,44,4,2,48250,5
43265,61,3,1,48253,5
43268,36,6,2,48400,5
43280,41,4,1,48450,5
43292,47,5,2,48500,5
43294,53,3,1,48509,5
43312,34,4,1,48556,5
43399,36,3,1,48865,5
43421,55,3,2,48883,5
43431,49,3,2,48900,6
43455,63,4,1,48912,5
43493,48,2,2,49000,7
43547,62,2,1,49000,5
43550,34,4,1,49000,5
43551,49,4,2,49012,5
43560,41,2,1,49032,5
43570,36,3,1,49050,6
43590,59,5,2,49099,5
43598,32,5,2,49100,5
43600,51,5,2,49200,7
43618,43,3,2,49242,5
43668,37,3,1,49399,5
43673,62,2,2,49456,5
43713,62,6,1,49570,5
43743,37,3,1,49650,5
43744,44,4,1,49772,5
43749,41,3,2,49912,5
43753,36,1,1,50000,7
43795,34,1,1,50000,5
43798,41,4,1,50000,5
43815,26,5,1,50000,5
43826,35,3,2,50000,5
43850,45,3,1,50000,6
43861,51,3,1,50000,6
43907,45,4,1,50000,5
43939,26,4,1,50000,5
43967,26,5,2,50000,5
43970,51,5,1,50000,5
43971,56,4,1,50000,7
43986,38,3,1,50000,5
43993,26,5,2,50000,5
44009,55,3,1,50000,5
44010,58,2,1,50000,5
44030,32,2,1,50000,5
44033,46,1,1,50000,5
44045,29,3,1,50000,5
44072,47,4,2,50000,5
44089,33,4,1,50000,5
44106,44,4,1,50000,7
44112,46,2,1,50000,5
44170,34,2,1,50000,7
44181,49,6,1,50000,7
44199,47,5,1,50000,7
44212,47,4,2,50000,5
44219,42,4,1,50000,5
44244,38,4,1,50005,5
44283,28,4,2,50005,5
44285,43,3,1,50010,5
44306,38,4,1,50015,5
44322,50,6,2,50020,6
44324,30,5,2,50025,5
44338,41,4,2,50072,5
44344,47,4,1,50145,5
44399,37,4,1,50162,5
44447,46,3,1,50215,5
44451,49,5,1,50350,7
44457,27,6,1,50351,6
44459,53,4,1,50400,5
44462,26,5,2,50500,5
44495,43,5,1,50500,6
44516,41,3,1,50500,7
44530,28,5,1,50537,5
44542,39,3,1,50575,5
44545,48,5,1,50600,5
44550,56,4,2,50642,5
44579,51,5,1,50713,6
44629,39,5,2,50750,5
44662,52,5,2,50893,5
44677,37,3,1,50900,5
44690,59,3,2,50987,5
44701,27,5,1,51000,5
44703,25,3,2,51000,5
44718,48,5,1,51000,5
44720,39,3,1,51010,5
44732,41,5,1,51050,6
44737,52,6,1,51066,5
44744,55,4,1,51139,6
44807,40,3,1,51194,6
44895,35,5,2,51384,5
44937,26,5,2,51432,5
44960,46,4,2,51501,5
44968,42,4,2,51506,6
44983,26,5,2,51515,5
44984,47,6,2,51530,6
44996,39,5,1,51640,6
45010,27,5,1,51692,5
45013,52,4,2,51721,5
45040,55,4,1,51803,7
45054,32,5,1,51900,6
45103,43,4,2,52000,5
45121,47,5,1,52000,7
45137,35,3,1,52000,5
45144,41,4,2,52000,5
45154,40,3,1,52000,5
45186,57,4,1,52009,5
45193,28,5,1,52025,5
45204,29,6,1,52035,5
45217,29,6,1,52037,5
45236,33,5,1,52037,5
45252,25,6,1,52069,6
45300,48,5,1,52200,7
45313,35,6,2,52203,5
45326,42,4,2,52238,5
45329,54,6,1,52256,7
45351,44,5,1,52300,5
45409,29,5,1,52350,5
45410,25,5,1,52500,6
45451,61,6,2,52697,7
45467,56,3,2,52730,5
45496,52,5,2,52850,5
45512,43,3,2,52864,5
45539,57,3,2,52947,5
45576,36,3,2,52988,5
45583,31,5,2,53000,5
45587,43,3,1,53000,6
45612,39,3,2,53000,5
45626,59,5,2,53001,6
45657,28,5,1,53058,5
45720,41,3,1,53081,7
45729,32,4,1,53100,5
45740,53,6,1,53136,6
45785,46,4,1,53162,6
45803,47,6,2,53230,6
45832,36,4,1,53242,5
45897,42,3,2,53303,5
45901,44,4,1,53450,5
45909,50,3,1,53544,5
45917,44,5,2,53766,5
45925,44,6,2,54000,5
45931,59,1,1,54000,5
45938,57,5,2,54000,6
45946,30,4,1,54050,5
45968,59,2,1,54120,5
45998,30,6,1,54175,5
46009,43,3,1,54200,5
46040,51,4,2,54431,5
46080,40,5,2,54500,5
46085,53,3,2,54500,5
46104,44,5,1,54649,6
46116,54,5,1,54726,7
46168,43,4,2,54988,5
46209,35,4,1,55000,5
46232,33,3,1,55000,5
46238,25,3,1,55000,5
46258,60,3,1,55000,5
46267,42,5,1,55000,5
46315,43,5,1,55000,5
46317,46,3,1,55003,5
46338,49,5,1,55030,6
46367,53,6,2,55115,6
46394,50,5,1,55125,6
46404,52,6,1,55203,7
46407,53,5,1,55300,5
46421,65,3,2,55302,6
46422,29,5,1,55360,7
46424,42,6,1,55401,6
46425,38,5,1,55500,5
46491,46,4,1,55538,5
46496,56,3,2,55590,7
46500,59,3,1,55650,7
46527,56,6,2,55700,6
